from,to,time
Девяткино,ГражданскийПроспект,4
ГражданскийПроспект,Академическая,4
Академическая,Политехническая,2
Политехническая,ПлощадьМужества,2
ПлощадьМужества,Лесная,3
Лесная,Выборгская,2
Выборгская,ПлощадьЛенина,3
ПлощадьЛенина,Чернышевская,2
Чернышевская,ПлощадьВосстания,3
ПлощадьВосстания,Владимирская,2
Владимирская,Пушкинская,2
Пушкинская,ТехнологическийИнститут-1,3
ТехнологическийИнститут-1,Балтийская,2
Балтийская,Нарвская,2
Нарвская,КировскийЗавод,3
КировскийЗавод,Автово,2
Автово,ЛенинскийПроспект,2
ЛенинскийПроспект,ПроспектВетеранов,2
Парнас,ПроспектПросвещения,3
ПроспектПросвещения,Озерки,3
Озерки,Удельная,3
Удельная,Пионерская,3
Пионерская,ЧернаяРечка,3
ЧернаяРечка,Петроградская,4
Петроградская,Горьковская,2
Горьковская,НевскийПроспект,4
НевскийПроспект,СеннаяПлощадь,3
СеннаяПлощадь,ТехнологическийИнститут-2,2
ТехнологическийИнститут-2,Фрунзенская,2
Фрунзенская,МосковскиеВорота,3
МосковскиеВорота,Электросила,2
Электросила,ПаркПобеды,2
ПаркПобеды,Московская,3
Московская,Звездная,4
Звездная,Купчино,3
Беговая,Зенит,4
Зенит,Приморская,4
Приморская,Василеостровская,4
Василеостровская,ГостиныйДвор,5
ГостиныйДвор,Маяковская,2
Маяковская,ПлощадьАлександраНевского-1,3
ПлощадьАлександраНевского-1,Елизаровская,5
Елизаровская,Ломоносовская,3
Ломоносовская,Пролетарская,3
Пролетарская,Обухово,3
Обухово,Рыбацкое,4
ГорныйИнститут,Спасская,6
Спасская,Достоевская,3
Достоевская,ЛиговскийПроспект,2
ЛиговскийПроспект,ПлощадьАлександраНевского-2,3
ПлощадьАлександраНевского-2,Новочеркасская,3
Новочеркасская,Ладожская,2
Ладожская,ПроспектБольшевиков,3
ПроспектБольшевиков,УлицаДыбенко,2
КомендантскийПроспект,СтараяДеревня,3
СтараяДеревня,КрестовскийОстров,2
КрестовскийОстров,Чкаловская,3
Чкаловская,Спортивная,2
Спортивная,Адмиралтейская,6
Адмиралтейская,Садовая,2
Садовая,Звенигородская,4
Звенигородская,ОбводныйКанал,5
ОбводныйКанал,Волковская,3
Волковская,Бухарестская,3
Бухарестская,Международная,3
Международная,ПроспектСлавы,2
ПроспектСлавы,Дунайская,3
Дунайская,Шушары,3
ПлощадьВосстания,Маяковская,2
Владимирская,Достоевская,2
Пушкинская,Звенигородская,2
НевскийПроспект,ГостиныйДвор,2
СеннаяПлощадь,Спасская,2
Спасская,Садовая,2
СеннаяПлощадь,Садовая,2
ТехнологическийИнститут-1,ТехнологическийИнститут-2,2
ПлощадьАлександраНевского-1,ПлощадьАлександраНевского-2,2
